행정구역별(시군구),연령별,항목,단위,2015 년,2016 년,2017 년,2018 년,2019 년
광진구,25~29,1인가구,,10270,9929,10335,11198,11939
광진구,25~29,남자,,5140,4884,5132,5498,5864
광진구,25~29,여자,,5130,5045,5203,5700,6075
광진구,30~34,1인가구,,8746,8069,7976,7919,8398
광진구,30~34,남자,,4775,4358,4309,4211,4424
광진구,30~34,여자,,3971,3711,3667,3708,3974
광진구,35~39,1인가구,,5233,5156,5421,5555,5649
광진구,35~39,남자,,3035,2866,2930,2985,2980
광진구,35~39,여자,,2198,2290,2491,2570,2669
광진구,40~44,1인가구,,4235,3903,3936,3718,3767
광진구,40~44,남자,,2538,2320,2277,2139,2130
광진구,40~44,여자,,1697,1583,1659,1579,1637
광진구,45~49,1인가구,,3728,3680,3814,3738,3711
광진구,45~49,남자,,2329,2221,2277,2191,2163
광진구,45~49,여자,,1399,1459,1537,1547,1548
광진구,50~54,1인가구,,3446,3278,3276,3220,3423
광진구,50~54,남자,,2128,1966,1969,1939,2071
광진구,50~54,여자,,1318,1312,1307,1281,1352
광진구,55~59,1인가구,,3271,3292,3405,3490,3544
광진구,55~59,남자,,1719,1692,1786,1844,1932
광진구,55~59,여자,,1552,1600,1619,1646,1612
광진구,60~64,1인가구,,2365,2590,2881,3136,3392
광진구,60~64,남자,,1011,1092,1230,1412,1570
광진구,60~64,여자,,1354,1498,1651,1724,1822
광진구,65~69,1인가구,,1936,1939,2099,2174,2286
광진구,65~69,남자,,725,731,813,823,885
광진구,65~69,여자,,1211,1208,1286,1351,1401
광진구,70~74,1인가구,,1629,1679,1703,1857,1959
광진구,70~74,남자,,462,479,529,624,659
광진구,70~74,여자,,1167,1200,1174,1233,1300
광진구,75~79,1인가구,,1230,1353,1499,1525,1621
광진구,75~79,남자,,292,332,354,356,400
광진구,75~79,여자,,938,1021,1145,1169,1221
광진구,80~84,1인가구,,758,828,901,978,1060
광진구,80~84,남자,,138,160,194,198,211
광진구,80~84,여자,,620,668,707,780,849
광진구,85세 이상,1인가구,,460,532,538,570,679
광진구,85세 이상,남자,,72,89,86,93,105
광진구,85세 이상,여자,,388,443,452,477,574
동대문구,합계,1인가구,,52884,52650,54030,55593,58152
동대문구,합계,남자,,27587,27103,27638,28098,29176
동대문구,합계,여자,,25297,25547,26392,27495,28976
동대문구,20세 미만,1인가구,,1572,1779,1696,1844,1543
동대문구,20세 미만,남자,,654,745,720,693,602
동대문구,20세 미만,여자,,918,1034,976,1151,941
동대문구,20~24,1인가구,,8404,8594,8993,9343,10659
동대문구,20~24,남자,,3799,3915,3890,3965,4460
동대문구,20~24,여자,,4605,4679,5103,5378,6199
동대문구,25~29,1인가구,,8901,8575,8769,9018,9771
동대문구,25~29,남자,,5436,5165,5283,5361,5708
동대문구,25~29,여자,,3465,3410,3486,3657,4063
동대문구,30~34,1인가구,,5762,5331,5316,5328,5351
동대문구,30~34,남자,,3466,3210,3239,3245,3202
동대문구,30~34,여자,,2296,2121,2077,2083,2149
동대문구,35~39,1인가구,,3744,3700,3811,3905,3895
동대문구,35~39,남자,,2246,2195,2264,2326,2313
동대문구,35~39,여자,,1498,1505,1547,1579,1582
동대문구,40~44,1인가구,,3450,3150,3084,3055,3031
동대문구,40~44,남자,,2224,2039,1903,1860,1808
동대문구,40~44,여자,,1226,1111,1181,1195,1223
동대문구,45~49,1인가구,,3175,3152,3309,3321,3289
동대문구,45~49,남자,,2103,2009,2132,2084,2059
동대문구,45~49,여자,,1072,1143,1177,1237,1230
동대문구,50~54,1인가구,,3215,3127,3005,3084,3119
동대문구,50~54,남자,,2057,1983,1930,1955,2010
동대문구,50~54,여자,,1158,1144,1075,1129,1109
동대문구,55~59,1인가구,,3323,3318,3457,3410,3442
동대문구,55~59,남자,,1817,1821,1942,1931,1992
동대문구,55~59,여자,,1506,1497,1515,1479,1450
동대문구,60~64,1인가구,,2765,2986,3211,3477,3618
동대문구,60~64,남자,,1259,1427,1543,1685,1734
동대문구,60~64,여자,,1506,1559,1668,1792,1884
동대문구,65~69,1인가구,,2564,2645,2725,2769,2921
동대문구,65~69,남자,,1010,1027,1071,1116,1249
동대문구,65~69,여자,,1554,1618,1654,1653,1672
동대문구,70~74,1인가구,,2451,2407,2432,2526,2674
동대문구,70~74,남자,,742,710,736,787,879
동대문구,70~74,여자,,1709,1697,1696,1739,1795
동대문구,75~79,1인가구,,1894,2080,2255,2354,2412
동대문구,75~79,남자,,457,517,597,639,638
동대문구,75~79,여자,,1437,1563,1658,1715,1774
동대문구,80~84,1인가구,,1081,1156,1245,1361,1539
동대문구,80~84,남자,,204,231,243,289,335
동대문구,80~84,여자,,877,925,1002,1072,1204
동대문구,85세 이상,1인가구,,583,650,722,798,888
동대문구,85세 이상,남자,,113,109,145,162,187
동대문구,85세 이상,여자,,470,541,577,636,701
중랑구,합계,1인가구,,45138,45717,47543,49207,52196
중랑구,합계,남자,,23317,23176,24000,24711,25988
중랑구,합계,여자,,21821,22541,23543,24496,26208
중랑구,20세 미만,1인가구,,270,232,203,167,201
중랑구,20세 미만,남자,,111,92,88,63,90
중랑구,20세 미만,여자,,159,140,115,104,111
중랑구,20~24,1인가구,,2025,1853,1909,1770,2044
중랑구,20~24,남자,,782,712,700,621,702
중랑구,20~24,여자,,1243,1141,1209,1149,1342
중랑구,25~29,1인가구,,3955,4027,4294,4767,5604
중랑구,25~29,남자,,1969,1922,2077,2311,2667
중랑구,25~29,여자,,1986,2105,2217,2456,2937
중랑구,30~34,1인가구,,4921,4736,4657,4721,5126
중랑구,30~34,남자,,2959,2804,2703,2694,2908
중랑구,30~34,여자,,1962,1932,1954,2027,2218
중랑구,35~39,1인가구,,3861,3969,4191,4412,4408
중랑구,35~39,남자,,2362,2400,2542,2675,2639
중랑구,35~39,여자,,1499,1569,1649,1737,1769
중랑구,40~44,1인가구,,4161,3801,3662,3466,3431
중랑구,40~44,남자,,2639,2331,2208,2112,2051
중랑구,40~44,여자,,1522,1470,1454,1354,1380
중랑구,45~49,1인가구,,4392,4326,4427,4372,4246
중랑구,45~49,남자,,2883,2804,2831,2764,2663
중랑구,45~49,여자,,1509,1522,1596,1608,1583
중랑구,50~54,1인가구,,4680,4585,4566,4623,4645
중랑구,50~54,남자,,2983,2922,2892,2907,2944
중랑구,50~54,여자,,1697,1663,1674,1716,1701
중랑구,55~59,1인가구,,4565,4829,5088,5165,5400
중랑구,55~59,남자,,2520,2619,2835,2927,3134
중랑구,55~59,여자,,2045,2210,2253,2238,2266
중랑구,60~64,1인가구,,3408,3846,4270,4804,5214
중랑구,60~64,남자,,1597,1828,2057,2354,2506
중랑구,60~64,여자,,1811,2018,2213,2450,2708
중랑구,65~69,1인가구,,2901,3054,3266,3368,3687
중랑구,65~69,남자,,1100,1180,1291,1350,1544
중랑구,65~69,여자,,1801,1874,1975,2018,2143
중랑구,70~74,1인가구,,2504,2559,2655,2846,3098
중랑구,70~74,남자,,695,727,789,848,975
중랑구,70~74,여자,,1809,1832,1866,1998,2123
중랑구,75~79,1인가구,,1785,2010,2325,2484,2544
중랑구,75~79,남자,,405,495,598,634,658
중랑구,75~79,여자,,1380,1515,1727,1850,1886
중랑구,80~84,1인가구,,1079,1195,1256,1407,1591
중랑구,80~84,남자,,203,232,252,311,343
중랑구,80~84,여자,,876,963,1004,1096,1248
중랑구,85세 이상,1인가구,,631,695,774,835,957
중랑구,85세 이상,남자,,109,108,137,140,164
중랑구,85세 이상,여자,,522,587,637,695,793
성북구,합계,1인가구,,52005,54117,54243,55136,57832
성북구,합계,남자,,24024,24615,24560,24777,26131
성북구,합계,여자,,27981,29502,29683,30359,31701
성북구,20세 미만,1인가구,,1250,1680,1514,1616,1355
성북구,20세 미만,남자,,426,587,537,510,447
성북구,20세 미만,여자,,824,1093,977,1106,908
성북구,20~24,1인가구,,8342,9914,9815,10144,10608
성북구,20~24,남자,,3035,3642,3590,3628,3753
성북구,20~24,여자,,5307,6272,6225,6516,6855
성북구,25~29,1인가구,,8242,8350,8330,8478,9391
성북구,25~29,남자,,4470,4544,4552,4655,5134
성북구,25~29,여자,,3772,3806,3778,3823,4257
성북구,30~34,1인가구,,5430,5096,4976,4877,5161
성북구,30~34,남자,,3110,2862,2819,2758,2964
성북구,30~34,여자,,2320,2234,2157,2119,2197
성북구,35~39,1인가구,,3654,3577,3660,3663,3810
성북구,35~39,남자,,2153,2135,2086,2084,2179
성북구,35~39,여자,,1501,1442,1574,1579,1631
성북구,40~44,1인가구,,3652,3287,3120,2843,2938
성북구,40~44,남자,,2182,1884,1765,1603,1666
성북구,40~44,여자,,1470,1403,1355,1240,1272
성북구,45~49,1인가구,,3272,3399,3450,3468,3513
성북구,45~49,남자,,1973,2046,2006,1966,1990
성북구,45~49,여자,,1299,1353,1444,1502,1523
성북구,50~54,1인가구,,3166,3024,2905,2947,3125
성북구,50~54,남자,,1839,1713,1658,1728,1854
성북구,50~54,여자,,1327,1311,1247,1219,1271
성북구,55~59,1인가구,,3204,3245,3380,3305,3397
성북구,55~59,남자,,1558,1594,1720,1727,1765
성북구,55~59,여자,,1646,1651,1660,1578,1632
성북구,60~64,1인가구,,2639,3023,3167,3425,3598
성북구,60~64,남자,,1058,1232,1293,1441,1537
성북구,60~64,여자,,1581,1791,1874,1984,2061
성북구,65~69,1인가구,,2549,2574,2610,2681,2773
성북구,65~69,남자,,805,845,870,918,977
성북구,65~69,여자,,1744,1729,1740,1763,1796
성북구,70~74,1인가구,,2514,2544,2546,2655,2779
성북구,70~74,남자,,643,656,672,712,746
성북구,70~74,여자,,1871,1888,1874,1943,2033
성북구,75~79,1인가구,,2070,2236,2379,2433,2486
성북구,75~79,남자,,421,481,534,539,553
성북구,75~79,여자,,1649,1755,1845,1894,1933
성북구,80~84,1인가구,,1277,1356,1491,1626,1772
성북구,80~84,남자,,213,238,284,314,345
성북구,80~84,여자,,1064,1118,1207,1312,1427
성북구,85세 이상,1인가구,,744,812,900,975,1126
성북구,85세 이상,남자,,138,156,174,194,221
성북구,85세 이상,여자,,606,656,726,781,905
강북구,합계,1인가구,,35787,36668,39082,40872,42791
강북구,합계,남자,,16600,16871,17809,18508,19517
강북구,합계,여자,,19187,19797,21273,22364,23274
강북구,20세 미만,1인가구,,226,199,323,324,295
강북구,20세 미만,남자,,69,56,61,59,71
강북구,20세 미만,여자,,157,143,262,265,224
강북구,20~24,1인가구,,1788,1814,2178,2556,2816
강북구,20~24,남자,,542,544,562,599,696
강북구,20~24,여자,,1246,1270,1616,1957,2120
강북구,25~29,1인가구,,2822,3119,3518,3895,4321
강북구,25~29,남자,,1368,1550,1731,1891,2114
강북구,25~29,여자,,1454,1569,1787,2004,2207
강북구,30~34,1인가구,,3418,3258,3251,3225,3369
강북구,30~34,남자,,2000,1887,1896,1877,1969
강북구,30~34,여자,,1418,1371,1355,1348,1400
강북구,35~39,1인가구,,2881,2892,2962,3080,3028
강북구,35~39,남자,,1702,1704,1756,1852,1827
강북구,35~39,여자,,1179,1188,1206,1228,1201
강북구,40~44,1인가구,,3046,2804,2789,2632,2572
강북구,40~44,남자,,1797,1669,1642,1562,1507
강북구,40~44,여자,,1249,1135,1147,1070,1065
강북구,45~49,1인가구,,3036,3089,3319,3352,3303
강북구,45~49,남자,,1847,1853,1971,1991,1954
강북구,45~49,여자,,1189,1236,1348,1361,1349
강북구,50~54,1인가구,,3242,3211,3180,3242,3395
강북구,50~54,남자,,1904,1879,1853,1866,1964
강북구,50~54,여자,,1338,1332,1327,1376,1431
강북구,55~59,1인가구,,3468,3548,3808,3827,3864
강북구,55~59,남자,,1741,1765,1935,1988,2076
강북구,55~59,여자,,1727,1783,1873,1839,1788
강북구,60~64,1인가구,,2811,3232,3499,3885,4197
강북구,60~64,남자,,1216,1394,1539,1745,1922
강북구,60~64,여자,,1595,1838,1960,2140,2275
